,x,y,z,s1,cs1,cs2_bottom,s2,cs2
143,-7.87559,28.575264,-14.254245,512.17645,608.5654,3119.558,12343.882,13075.801
329,-35.160397,23.277012,-68.938354,751.73926,827.812,2753.8218,10899.045,11187.618
386,34.42719,-39.422752,-42.89267,847.01953,1010.82104,6351.1055,26038.262,25412.7
560,-20.226692,-1.768105,-99.40151,1422.4764,1289.2067,12728.738,59645.035,51487.45
563,13.250402,-29.079391,-48.801014,1296.5292,1461.0283,10229.664,44150.43,41030.125
627,12.997923,36.257187,-16.481676,519.7835,619.6901,2784.9336,10263.299,10637.3545
641,33.396847,16.16851,-123.982574,1696.1649,1361.4548,7122.661,23056.14,28116.688
713,-40.75761,-28.604876,-81.75984,577.48926,606.6166,2590.3557,8529.821,10215.983
895,13.555143,2.6454673,-18.448423,283.51868,328.0074,1486.6493,6631.095,5984.7764
1021,30.802052,49.219696,-91.9568,129.63188,132.41327,960.6479,3455.8994,4132.682
1061,0.39268234,-22.552101,-23.832561,1132.811,1310.007,11390.594,52268.734,45566.223
1068,21.307499,-3.927669,-56.446873,1219.9285,1333.342,4641.685,19569.393,18547.424
1375,47.783432,7.5934944,-85.879776,187.99507,191.75438,1400.8732,5187.7905,5650.099
1602,6.109739,-17.879286,-35.73659,285.11533,325.5399,1621.3463,7936.444,6975.884
1920,19.441706,27.73604,-56.32112,1148.0652,1275.6058,9107.068,35636.336,35727.29
1930,-22.026049,-27.846289,-93.30633,1126.7533,1083.2856,5642.746,21545.22,22221.83
1981,-30.178606,7.335587,-80.282745,1202.8378,1227.5801,8442.543,32947.29,33735.152
2219,10.684454,13.59431,-31.950045,1189.6931,1363.9395,10881.014,44270.97,43048.46
2230,55.600384,4.8945107,-131.62013,1194.0168,970.52356,4962.3203,16958.877,19875.605
2695,-11.103261,-18.150991,-97.74526,1703.2379,1555.0485,14533.805,58279.07,58966.652
2748,31.143864,-39.74595,-120.108284,903.4828,780.85333,3397.5044,12760.556,13270.402
2969,9.398516,-14.515413,-21.916304,749.186,867.1178,4568.941,20648.861,17760.83
3348,4.99285,25.217213,-27.912464,922.0409,1070.7262,6905.5723,27227.664,26979.71
3355,-8.844387,11.589657,-107.28085,400.5116,342.29367,1706.1495,6798.0337,6764.7456
3359,35.267124,45.58452,-127.39038,1072.7504,893.8428,4460.7065,15594.364,18970.113
3435,9.425933,-30.567131,-55.644634,1357.6078,1506.8959,7617.989,30166.56,30208.596
3893,-19.139015,4.949131,-18.070087,962.8326,1122.2993,4661.1846,18978.02,18090.588
4077,-3.688189,4.922456,-30.768253,932.0238,1063.683,8355.715,37331.96,34007.297
4164,18.339228,-52.623188,-99.73502,655.80396,643.8959,2670.4097,9138.818,10578.709
4220,13.177343,-41.740334,-81.205666,1404.9781,1464.6295,10575.966,39975.176,42362.93
4462,-4.929861,58.687634,-121.62973,967.1285,858.4809,3973.5881,12026.87,15481.585
4755,11.914293,22.140884,-66.167145,376.56595,401.00604,1919.7031,7585.42,7682.813
