,cs1,cs2
0,33.64172,2361.211
1,9.6233425,2090.8242
2,63.584034,3104.4521
3,12.774094,2224.6877
4,24.170414,1849.7664
5,8.161281,1973.6022
6,78.58891,3608.0112
7,50.282196,2648.4617
8,46.537746,3113.4763
9,49.219803,2094.7583
10,13.723961,1427.1119
11,9.4173355,1499.4576
12,64.95956,3896.9565
13,63.28004,3635.8596
14,84.8966,3245.692
15,83.64444,4284.7363
16,41.493057,3020.931
17,29.599548,2092.1277
18,21.747236,1561.5763
19,47.666348,3089.9326
20,91.21653,3963.4937
21,6.501449,1210.416
22,70.999535,2809.4055
23,35.72763,2815.286
24,76.687485,3329.5679
25,23.008268,1846.6136
26,7.2236705,1426.634
27,12.752404,1800.7268
28,65.80298,2538.0354
29,27.424028,1545.6665
30,25.170687,2427.6997
31,65.90546,3034.613
32,74.603226,3681.901
33,7.0470576,2013.4526
34,35.34925,2174.357
35,21.021118,1670.0814
36,47.851757,2609.0457
37,9.6293,1158.766
38,16.769825,1891.6832
39,64.7584,2850.3765
40,92.55625,4103.9487
41,50.390636,2514.7405
42,23.708677,1974.4344
43,85.73069,3585.4604
44,88.77008,3118.292
45,37.56896,2683.6787
46,17.159859,2183.31
47,23.51324,1641.2467
48,39.683212,2187.52
49,99.58658,3407.4827
50,42.98411,2354.7966
51,53.781376,3491.855
52,80.069664,3054.176
53,60.301094,3373.82
54,21.461367,2440.1975
55,62.378517,2639.822
56,95.08844,4701.603
57,62.187294,3077.9014
58,36.959286,2621.2444
59,98.800186,4367.4976
60,70.14267,3368.1482
61,99.10806,4379.6924
62,21.660305,2139.6614
63,39.28029,2133.0247
64,95.3811,3209.7395
65,28.709122,1972.504
66,59.056713,2955.5388
67,74.93346,3109.196
68,20.734764,1958.7083
69,18.978235,2419.684
70,7.174384,1165.7395
71,86.18272,3524.2559
72,34.751404,2805.1902
73,82.32141,3644.9124
74,25.887568,2500.9004
75,91.550766,3206.1497
76,41.683083,2607.3184
77,87.25219,3900.4885
78,70.324486,3443.2585
79,57.325138,3019.5078
80,59.777557,3553.1033
81,7.612724,1333.464
82,57.763145,4078.1074
83,41.26342,2591.0942
84,93.13269,4053.7317
85,87.62138,2909.3845
86,22.91309,2723.8528
87,51.469357,2966.8054
88,33.842728,2108.021
89,92.5336,3064.6868
90,67.13853,3558.7043
91,14.021598,1530.3309
92,92.23929,4079.2642
93,69.80076,3270.5474
94,84.620094,3464.738
95,80.87091,3320.748
96,32.72011,3074.1868
97,8.0082035,1640.9708
98,7.624988,1577.2662
99,73.64389,2903.186
100,86.248505,3697.7346
101,38.986317,2813.4307
102,77.15643,4080.7651
103,30.140585,2363.498
104,74.07693,3271.7107
105,73.9852,3606.6338
106,66.992935,3660.0105
107,47.61028,2427.4888
108,33.145996,2785.916
109,37.03494,2348.3228
110,48.253147,2612.3997
111,29.973082,1719.5225
112,31.914618,2460.1248
113,40.631325,2477.8022
114,55.78825,3264.4556
115,99.09594,3499.0369
116,54.05545,3381.3625
117,27.200045,2751.7239
118,26.240623,3495.766
119,44.449406,2753.3289
120,50.96608,2150.5159
121,98.58302,4012.224
122,14.317396,2183.8574
123,2.9366496,1557.9706
124,84.2393,3233.4011
125,27.314186,1678.6735
126,74.082886,3985.6392
127,4.25408,1441.8344
128,99.08044,4031.6323
129,72.20042,2858.6497
130,33.300934,2991.7444
131,13.46639,2935.6335
132,77.90222,2885.9812
133,38.596645,2043.1914
134,23.72295,2404.0974
135,13.711647,2302.8416
136,26.575825,2704.4587
137,20.813284,1894.3143
138,27.797173,1913.1354
139,79.49744,2985.4238
140,56.984856,3296.4824
141,44.24467,2458.8176
142,22.889437,2294.908
143,9.275363,1438.296
144,17.707874,1728.4755
145,23.077202,2293.2
146,21.30786,1818.1903
147,53.87268,2068.771
148,77.419136,3353.4338
149,92.58306,4497.2207
150,63.462223,3767.8416
151,64.439285,3183.8098
152,71.890015,2869.297
153,55.47383,3128.5256
