x,y,z,s1,cs1,cs2_bottom,s2,cs2
19.691744,26.001593,-68.24412,8.166412,8.7015295,472.12885,1889.7383,1895.4935
-41.30918,-8.047509,-108.752556,14.253966,12.861544,374.50864,1343.5736,1451.6177
27.527811,-27.045809,-119.90409,20.296991,16.836544,462.55386,1862.83,1800.9121
25.010464,52.259712,-74.06424,18.101524,19.858658,546.67957,1696.7098,1967.1224
10.134051,42.07432,-44.53184,13.016329,15.235545,361.9492,1312.3904,1427.5913
-30.146402,27.92001,-119.33858,18.711239,15.863243,480.40015,1713.882,1959.0625
20.082867,17.121294,-9.712575,7.0693245,8.319496,465.6196,2003.5123,1842.9661
55.356617,-1.942373,-133.84285,15.603157,12.490957,441.75436,1686.7223,1918.2223
17.534136,-14.351828,-13.896427,9.238677,10.811273,455.10287,1934.7255,1844.6813
38.344364,41.826595,-68.15947,18.557154,20.74685,414.04742,1347.916,1534.8817
22.243599,40.65227,-18.211296,9.226322,11.1217375,439.56104,1530.5691,1694.6068
-0.3281672,-18.209438,-72.733,17.736134,18.42503,451.90588,2124.8467,1950.4569
-12.099585,-13.948275,-121.824196,27.499922,21.412655,384.07504,1667.3866,1606.502
25.595781,57.9556,-94.661255,18.435764,18.808718,455.2627,1139.7074,1531.8912
43.44037,5.419141,-12.369037,16.568947,19.890306,433.68118,1876.8711,1802.7686
-56.575726,18.730917,-88.330025,14.048099,15.33912,353.9821,1264.7712,1388.8413
-19.118883,60.845043,-100.80544,12.04886,12.266209,448.345,1371.4713,1657.7357
19.766014,-56.43819,-43.859337,18.253433,22.319664,363.69485,1100.714,1321.3755
-11.29111,25.217798,-12.9601345,22.364405,26.65949,518.20123,2106.2666,2007.9617
7.2817526,19.838833,-49.71125,17.569553,19.63061,377.73355,1661.21,1607.7424
-17.560724,-5.2315874,-78.39895,15.465633,15.708824,517.6637,2159.5618,1937.2163
0.7247583,-25.605034,-36.286785,22.7619,26.146265,458.65018,1985.0376,1809.3145
-7.0635977,-27.070354,-116.765274,18.688234,15.295176,460.84476,1653.9819,1759.0906
47.22835,-18.687815,-12.01149,13.964119,17.173819,499.48944,1971.9996,1973.2153
-57.290295,-5.1243567,-106.56927,16.010086,15.33607,298.519,1284.7578,1419.9293
44.918537,-10.945955,-100.42096,10.878401,10.413301,509.62698,2031.8875,2108.063
-3.711455,14.259924,-12.045577,11.813987,13.8117285,408.6253,1984.6812,1801.7925
-29.202713,29.971087,-125.79873,13.326158,10.859152,509.5271,1615.4015,1840.1218
-23.550999,-45.589127,-133.08556,27.511183,21.23536,520.5322,1630.3413,1900.463
-29.321291,36.92207,-63.02792,13.544912,15.348986,495.81326,1734.7869,1851.2484
